나이/성별,특징,선호,불호
10대 여자 ,"수능 준비를 하는 고등학교 3학년 (소화가 잘 되는 재료, 머리에 좋은 재료)","견과류 (호두), 어류 (고등어), 화채류 (브로콜리)",유제품 (아이스크림)
10대 여자 ,디저트와 과일을 좋아하는 중학생 (과일이나 디저트에 사용되는 재료),"인과류 (사과), 과채류 중 과일 (딸기), 유제품 (버터)",엽채류 (시금치)
10대 여자 ,"치킨을 특히나 좋아하는 중학생 (치킨에 사용되는 재료, 치킨과 같이 먹는 재료)","닭, 근채류 (무)","김치, 과채류 (피망)"
10대 남자 ,"체육 수업을 좋아하는 성장기 중학생 (열량이 높거나 몸에 좋은 재료, 갑각류 알레르기)","돼지고기, 두부, 버섯",갑각류 (새우)
10대 남자 ,"채소를 싫어하며 육식 위주의 음식을 좋아하는 중학생 (육식 위주의 재료, 채소가 아닌 재료)",돼지고기,"엽채류 (시금치), 경채류 (두릅), 근채류 (당근)"
10대 남자 ,키가 크고 싶어하는 초등학생 (키 성장에 방해가 되지 않는 재료),"어류 (멸치), 유제품 (우유), 두부, 달걀",
20대 여자 ,신선한 해산물과 국물 요리를 평소 좋아하는 대학생 (해산물 재료와 국물을 내기 위한 재료),"어류 (광어), 연체류 (오징어), 조개류 (바지락)",근채류 (당근)
20대 여자 ,"환경을 위해 채식을 실천하는 직장인 (육류, 생선류 재료 제외, 채소 위주의 재료)","채소_과채류 (가지), 과일_인과류 (사과) ","돼지고기, 어패류 (고등어)"
20대 여자 ,퇴근 후 매운 음식으로 스트레스를 해소하는 직장인 (매운맛을 내는 재료),"과채류 중 야채 (고추), 구근류 (마늘), 김치",근채류 (토란)
20대 남자 ,"바디프로필 촬영을 위해 운동하는 직장인 (저탄소화물, 고단백질 위주의 재료, 지방이 없는 재료)","닭, 어류 (광어), 근채류 (고구마)",유제품 (버터)
20대 남자 ,과일 알레르기가 있어 과일을 전혀 먹지 못하는 대학생 (과일이 아닌 재료),,"인과류, 핵과류, 장과류, 열대과일, 과채류 중 과일"
20대 남자 ,"자취를 하여 저렴한 재료 위주의 식사를 먹는 대학생 (저렴한 재료, 손쉽게 구할 수 있는 재료)","달걀, 김치","갑각류 (랍스터), 연체류 (문어)"
30대 여자 ,해산물 알레르기가 있어 해산물을 전혀 먹지 못하는 직장인 (해산물이 아닌 재료),,"어류, 연체류, 갑각류, 조개류"
30대 여자 ,아이를 임신하여 태아에게 좋은 음식을 먹는 주부 (성장에 도움이 되는 재료),"달걀, 엽채류 (시금치), 화채류 (브로콜리)",어류 (참치)
30대 여자 ,빈혈이 있어 빈혈에 좋은 음식을 먹는 직장인 (빈혈에 좋은 음식),"달걀, 엽채류 (시금치), 근채류 (비트), 조개류 (굴)",
30대 남자 ,스트레스로 인해 위에 좋은 음식을 챙겨먹는 직장인 (위에 좋은 재료),"엽채류 (양배추), 과채류 중 야채 (토마토), 두부",유제품 (우유)
30대 남자 ,회사 회식으로 인해 술을 자주 먹어 간에 좋은 음식을 챙겨먹는 직장인 (간에 좋은 재료),"버섯, 경채류 (부추배추), 조개류 (모시조개)",돼지고기
30대 남자 ,갑상선 질환이 있어 갑상선에 좋은 음식을 먹는 직장인 (갑상선에 좋은 재료),"핵과류 (복숭아), 화채류 (브로콜리), 과채류 중 과일 (토마토)",돼지고기
40대 여자 ,한식을 좋아하는 주부 (한식에 많이 사용되는 재료),"김치, 구근류 (마늘), 과채류 중 야채 (오이), 조개류 (홍합)",
40대 여자 ,골다공증 예방을 위해 뼈에 좋은 음식을 먹는 주부 (골다공증 예방에 도움을 주는 재료),"장과류 (무화과), 유제품 (치즈), 어류 (멸치), 근채류 (고구마)",
40대 여자 ,갱년기 예방을 위해 좋은 음식을 먹는 직장인 (갱년기 예방에 도움을 주는 재료),"유제품 (요구르트), 핵과류 (자두), 오류 (연어), 과채류 중 야채 (토마토)",
40대 남자 ,건강에 좋은 음식을 챙겨먹으려고 하는 직장인 (건강에 좋은 재료),"두부, 버섯, 경채류 (두릅), 조개류 (전복)",
40대 남자 ,주말농장에 밭을 가꾸어 밭에 있는 재료로 요리를 해먹는 직장인 (밭에서 키울 수 있는 재료),"엽채류 (배추), 경채류 (부추), 구근류 (양파), 핵과류 (매실)",
40대 남자 ,"성장기의 아이들의 아침 밥을 담당하는 아버지 (성장에 좋은 재료, 무겁지 않은 재료)","달걀, 김치, 엽채류 (시금치), 유제품 (우유)",
50대 여자 ,자녀들이 건강에 좋은 단백질 음식을 자주 배송해주어 먹는 어르신 (건강에 좋은 단백질 위주의 재료) ,"소고기, 두부, 달걀, 어류 (가자미)",
10대 여자,유제품 알레르기가 있는 직장인,"달걀, 핵과류(자두), 돼지고기",유제품 (치즈)
10대 여자,"한식 (밥, 국) 좋아하는 직장인","김치 (깍두기), 닭, 연체류 (낙지), 어류 (광어)",
20대 남자,채소 위주의 반찬을 자주 만드는 주부,"경채류 (두릅), 과채류 (호박), 과채류 (수박)",소고기
20대 남자,이가 불편해 부드러운 음식을 자주 섭취하는 여성,"두부, 유제품 (치즈)","갑각류 (게), 경채류 (아스파라거스)"
20대 남자,배달음식을 많이 먹는 자취생 (자극적인 재료),"닭, 돼지고기","과채류 (가지), 장과류 (무화과)"
20대 남자,나물을 좋아하는 직장인,"경채류 (두릅), 엽채류 (미나리), 버섯",견과류 (은행)
20대 남자,다양한 재료를 사용해 요리하는 게 취미인 직장인,"견과류 (밤), 조개류 (홍합), 그외고기, 엽채류 (갓)",
20대 여자,버섯과 나물류를 싫어하는 직장인,소고기,"버섯, 경채류 (죽순), 구근류 (마늘)"
20대 여자,양식을 좋아하는 직장인,"화채류 (컬리플라워), 열대과일 (아보카도)","엽채류 (쑥갓), 연체류 (해삼)"
20대 여자,"페스코 베지테리언인 대학생 (채식을 하면서 유제품, 가금류의 알, 어류는 먹는 채식주의자)","어류 (고등어), 근채류 (감자)","소고기,  돼지고기"
30대 남자,베이킹이 취미인 고등학생 (베이킹할 때 자주 사용하는 재료),"유제품 (버터), 인과류 (유자), 열대과일 (망고)",과채류 (고추)
30대 남자,당뇨 위험군으로 당뇨에 좋은 음식을 먹으려 노력하는 주부 (당분이 많은 재료 자제),"어류 (참치), 근채류 (고구마)","열대과일 (바나나), 핵과류 (복숭아)"
30대 여자,평소에 면 요리를 좋아하는 직장인,"소고기, 과채류 중 야채 (토마토), 달걀",경채류 (마늘쫑)
30대 여자,해산물 알레르기가 있는 대학생,근채류 (순무),"어류 (도미), 갑각류 (랍스터), 조개류 (굴)"
30대 여자,갑각류 알레르기가 있는 대학생,"두부, 유제품 (요구르트)","갑각류 (새우), 과채류 중 야채 (피망)"
30대 여자,"요리를 최근에 시작한 자취생 (요리하기 쉬운 재료, 자주 사용하는 재료)","구근류 (양파), 오리고기","조개류 (전복), 연체류 (꼴뚜기)"
40대 남자,자주 앉아있어 가벼운 음식을 찾는 프리랜서,"과채류 중 야채 (오이), 근채류 (당근), 장과류 (포도)",조개류 (모시조개)
40대 남자,아침과 간식을 과일로 먹는 고등학생,"인과류 (사과), 핵과류 (살구), 장과류 (포도), 열대과일 (파인애플)",
40대 남자,가벼운 식단 다이어트를 시작한 대학생,"닭, 화채류 (브로콜리), 엽채류 (양배추), 달걀",
40대 여자,잦은 소화불량을 겪는 직장인 ,"핵과류 (매실), 엽채류 (양배추)","조개류 (굴), 어류 (붕어)"
50대 남자,잦은 소화불량을 겪는 대학생,"화채류 (브로콜리), 열대과일 (바나나), 근채류 (무)",유제품 (우유)
50대 여자,달걀 알레르기가 있는 직장인,"근채류 (당근), 인과류 (감), 갑각류 (가재)",달걀
50대 여자,해산물을 좋아하는 사람,"어류 (메기), 연체류 (낙지), 갑각류 (랍스터), 조개류 (바지락)",
60대 여자,"저탄고지 식단을 시도하는 직장인 (저탄수화물, 고지방)","엽채류 (시금치), 유제품 (버터), 달걀, 돼지고기",
60대 여자,견과류 알레르기가 있는 사람,"버섯, 두부, 닭",호두 (견과류)